Fleet No,Reg Plate,Year,Model,Operator,Livery,Status,Notes
2763,HF66 DPO,2016,Alexander-Dennis Enviro200 MMC,Bluestar.png,BluestarOld.png,In Service,
2764,YX17 NHP,2017,Alexander-Dennis Enviro200 Classic,Damory.png,DamoryBlue.png,In Service,
2765,YX17 NHT,2017,Alexander-Dennis Enviro200 Classic,Damory.png,DamoryBlue.png,In Service,
2766,YX17 NHU,2017,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2767,YX17 NHV,2017,Alexander-Dennis Enviro200 Classic,Damory.png,DamoryBlue.png,In Service,
2768,YX17 NHY,2017,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2769,YX17 NHZ,2017,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2770,YX17 NJE,2017,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2771,YX17 NJF,2017,Alexander-Dennis Enviro200 Classic,Swindon.png,Swindon.png,In Service,
2772,HF67 ATN,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2773,HF67 ATO,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2774,HF67 ATU,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2775,HF67 ATV,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
2776,HF67 ATX,2017,Alexander-Dennis Enviro200 MMC,Swindon.png,Swindon.png,In Service,
